,Player,Tm,G,Pos,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,PTS_VAR,TRB_VAR,AST_VAR,STL_VAR,BLK_VAR,FG%_VAR,3P%_VAR,FT%_VAR,TOT_VAR
71,Donte DiVincenzo,NYK,81,SG,26.9,6.3,4.6,2.3,0.8,0.443,0.401,0.754,0.73,0.11,-0.16,1.71,0.24,-0.31,0.58,-0.57,4.41
72,Dorian Finney-Smith,BRK,68,PF,14.9,8.1,2.7,1.4,1.0,0.421,0.348,0.717,-0.91,-0.5,-0.57,0.25,0.0,-0.87,-0.31,-0.32,3.73
73,Doug McDermott,TOT,64,SF,18.4,3.1,3.7,0.8,0.1,0.433,0.41,0.579,-0.16,-1.73,0.1,-1.21,-1.23,-0.54,0.99,-2.55,8.51
74,Drew Eubanks,PHO,75,C,15.8,13.4,2.6,1.1,2.5,0.601,1.0,0.774,-0.99,-0.4,-0.58,-0.39,0.6,0.39,3.07,0.4,6.82
75,Duncan Robinson,MIA,68,SF,22.9,4.5,5.0,1.2,0.4,0.45,0.395,0.889,0.62,-1.14,0.93,-0.4,-0.61,-0.09,0.72,1.14,5.65
76,Duop Reath,POR,68,C,25.1,10.2,2.7,1.3,1.5,0.461,0.359,0.742,0.52,-1.32,-0.54,0.0,-0.26,-1.42,0.15,0.0,4.21
77,Dwight Powell,DAL,63,C,11.9,12.3,4.8,1.5,1.1,0.679,0.333,0.708,-1.62,-0.72,0.33,0.39,-0.6,1.4,0.04,-0.42,5.52
78,Dyson Daniels,NOP,61,PG,12.8,8.5,5.9,3.1,0.9,0.447,0.311,0.642,-1.19,1.41,-0.92,3.02,1.37,-0.07,-1.6,-2.51,12.09
79,Eric Gordon,PHO,68,SG,19.3,3.1,3.6,1.7,0.8,0.443,0.378,0.797,-0.49,-1.64,-0.62,0.43,0.24,-0.31,0.1,0.02,3.85
80,Franz Wagner,ORL,72,SF,30.1,8.1,5.7,1.6,0.6,0.482,0.281,0.85,1.87,0.38,1.37,0.4,-0.2,0.74,-1.4,0.68,7.04
81,Fred VanVleet,HOU,73,PG,22.9,5.0,10.6,1.8,1.1,0.416,0.387,0.86,0.07,-0.56,0.92,0.57,1.98,-0.96,0.46,0.33,5.85
82,Garrison Mathews,ATL,66,SG,15.7,4.4,1.8,1.0,0.4,0.456,0.44,0.81,-1.07,-0.93,-1.44,-1.07,-0.72,0.06,1.38,0.2,6.87
